question,document
"In the LLM-as-judge section, how do I view the full judge explanation without the ... being added?",641aedbbf5
How can I normalize vectors stored in a Pandas DataFrame column?,5039707c1a
What’s the easiest way to normalize a Pandas Series of vectors?,5039707c1a
Can I use NumPy to normalize each vector in a DataFrame column?,5039707c1a
How do I create a new normalized column from an existing column of vectors in pandas?,5039707c1a
What function should I apply to divide each vector by its norm in a DataFrame?,5039707c1a
How do I get the 75th percentile from a pandas column?,b4c8ac5a0c
What’s the pandas way to compute a quantile for one Series?,b4c8ac5a0c
How can I find the 0.75 quantile of a DataFrame column in pandas?,b4c8ac5a0c
Is there a simple function to calculate a percentile in pandas?,b4c8ac5a0c
How do I pull the 75% value from a DataFrame column using pandas?,b4c8ac5a0c
"How do I wipe out every Docker container from the terminal, even the ones still running?",66ccbb7da0
What’s the command to force remove all Docker images on my machine?,66ccbb7da0
How can I delete all Docker volumes using a terminal command?,66ccbb7da0
"Is there a quick way to clean up all containers, images, and volumes in Docker at once?",66ccbb7da0
"What terminal commands should I run to fully clear Docker stuff like containers, images, and volumes?",66ccbb7da0
How can I make sure a user can only leave one feedback vote per submitted prompt in Streamlit?,2e729f1271
Why does `st.session.submitted` keep getting set back to `True` after I click a feedback button?,2e729f1271
"In my Streamlit app, how do I disable the feedback buttons after the user submits a question?",2e729f1271
What’s the fix for session state being reassigned when one of the feedback buttons is pressed in Streamlit?,2e729f1271
Is there a known solution for `st.session.submitted` changing unexpectedly after using the ask button and feedback buttons?,2e729f1271
"Why do I get ""exec: streamlit: executable file not found in $PATH"" when starting my Streamlit app with docker-compose, even though it works outside Docker?",e8df9f0d12
What should I check in my Docker setup if docker-compose fails to create the container task for a Streamlit app?,e8df9f0d12
How do I fix the runc/OCI error from docker-compose when Streamlit can't be found in the container?,e8df9f0d12
Do I need a Dockerfile and any specific docker-compose changes to run Streamlit properly in Docker?,e8df9f0d12
"After adding Streamlit to docker-compose, what command should I use to rebuild and launch the app again?",e8df9f0d12
"Is the capstone something we do alone, or can it be a team project?",0fab61eca2
Can two students work on one larger idea and still submit it separately?,0fab61eca2
"If we build a shared system, what has to be different for each person’s submission?",0fab61eca2
"Do I need my own repo for the capstone, or can I use the same one as someone else?",0fab61eca2
What makes a project count as independent enough for the capstone requirement?,0fab61eca2
"Do I actually need to hand in two capstone projects, or is one project enough?",d5fc98925d
What do attempt 1 and attempt 2 mean for the capstone submission?,d5fc98925d
"If my first submission gets rejected, can I fix it and send it again later?",d5fc98925d
"Can I submit a second project just for practice, and if so, does it need to be a different topic?",d5fc98925d
What happens if I miss the first submission deadline but still want to get the capstone done for certification?,d5fc98925d
"Is the competition itself considered the capstone project, or are they separate?",e892d44e42
Can we use the competition as our capstone submission?,e892d44e42
"If I join the math-kaggle-llm competition, does that count toward the capstone requirement?",e892d44e42
"Are teams allowed for the capstone, or is it only for the competition?",e892d44e42
Can I participate in the competition with a group and still do the capstone on my own?,e892d44e42
How will the capstone project be graded in this course?,9a2e2d2008
Who reviews my submitted capstone project?,9a2e2d2008
Do I also need to review other students' capstone projects?,9a2e2d2008
What happens if I don't grade the required number of peer projects?,9a2e2d2008
How is the final capstone score calculated from the peer reviews?,9a2e2d2008
"After the project submission deadline, how are the reviews or grading assignments distributed to students?",eae0fb50aa
"Will each participant get assigned multiple capstone projects to grade, and if so, how many?",eae0fb50aa
What happens once the submission deadline is over for the capstone project reviews?,eae0fb50aa
How will we know which projects we need to review after the deadline passes?,eae0fb50aa
"Is there a shared list or sheet for assigning capstone project reviews, and what does it include?",eae0fb50aa
"I already turned in my capstone project, but why am I still not seeing anything to review?",a8a7fef016
When do the projects for evaluation get assigned after the deadline ends?,a8a7fef016
"Can I pick which student projects I want to grade, or is it automatic?",a8a7fef016
Why is the review list still empty even though the submission period is over?,a8a7fef016
Am I supposed to start reviewing projects before the assigned list is released?,a8a7fef016
Where can I look for project ideas and dataset suggestions for the capstone?,e76a70cde3
Is there a page with examples of datasets I can use for the project?,e76a70cde3
Can you point me to some ideas and tips for choosing a dataset for the capstone project?,e76a70cde3
I’m stuck on what to build for the project — is there a GitHub page with suggestions?,e76a70cde3
"What resource should I check for project ideas, datasets, and guidelines?",e76a70cde3
"Do I actually need Airflow, Mage, or Kestra for the capstone project, or is a regular Python script enough?",d4f7c08ea1
Can I get full points for the ingestion pipeline if I just write a Python script that loads and indexes the data?,d4f7c08ea1
"If I do the ingestion steps in a Jupyter notebook instead of a script, how many points is that worth?",d4f7c08ea1
"Should I use an orchestration tool in the capstone only when the project really needs it, like for daily data updates?",d4f7c08ea1
"Is it okay to skip an orchestrator and still meet the capstone ingestion requirement, or do they expect one?",d4f7c08ea1
How can I evaluate a recommender-style RAG if I don’t have clear ground-truth answers?,9b0e2d6a47
What’s a good way to create test queries for item retrieval when the dataset only has item descriptions?,9b0e2d6a47
Should I use hit rate or NDCG for a ranking-based RAG system where more than one result can be acceptable?,9b0e2d6a47
How do people use an LLM as a judge to score the usefulness of RAG outputs end to end?,9b0e2d6a47
Is there a way to build synthetic ground truth for a recommender RAG and measure metrics like MRR?,9b0e2d6a47
How should I chunk a big corpus with long PDFs and lots of paragraphs?,6f2a8b3d10
Is it better to start with fixed-size chunks or try fancy document splitting right away?,6f2a8b3d10
Should I ask an LLM to split my PDFs into sections before indexing them?,6f2a8b3d10
Would adding short summaries to each chunk help retrieval in my project?,6f2a8b3d10
"For legal or financial docs, is BM25 plus dense search better than using only embeddings?",6f2a8b3d10
What do you mean by reproducibility in the capstone project — should reviewers be able to run everything from the repo alone?,e5d8a2c761
Do I need to include my API keys or hosted-service credentials so someone can test the project?,e5d8a2c761
How should I let a reviewer set up their own environment variables without exposing secrets in Git?,e5d8a2c761
What should I provide so the dataset and search index can be rebuilt locally from scratch?,e5d8a2c761
Which model and dependency setup is best so reviewers can run the project without using too many credits or hitting version issues?,e5d8a2c761
"Can I do the homework or capstone in a language other than Python, like JavaScript, Go, or Rust?",ea815eb858
"If I choose a non-Python stack for the final project, what kind of README or setup instructions do I need to provide?",ea815eb858
Why does the course recommend Python so strongly for assignments and the capstone?,ea815eb858
"Are languages like TypeScript, Java, Scala, C#, or R allowed at all, or is Python mandatory?",ea815eb858
What should a reviewer be able to do if I submit a project built with another language or ecosystem?,ea815eb858
Where can I see examples of past LLM Zoomcamp capstone projects?,930286278d
Is there a page with old LLM Zoomcamp project submissions I can browse?,930286278d
Can I check previous projects from the 2024 and 2025 LLM Zoomcamp cohorts?,930286278d
Where do I find repositories for earlier LLM Zoomcamp projects?,930286278d
Is there an archive of submitted capstone projects for LLM Zoomcamp?,930286278d
Do I need to reserve or announce my capstone project idea before I start?,897a350476
Can I just begin working on my project without posting the idea anywhere first?,897a350476
"If I want feedback on my project idea, where should I ask?",897a350476
"Are similar project topics allowed, or do I need a totally unique idea?",897a350476
Should I check past capstone projects to figure out the right scope before I choose my own idea?,897a350476
Can I build my capstone as a Telegram or WhatsApp bot instead of a web app?,7318a90b14
"Is there any rule that the project has to be a website, or can I use a CLI or notebook too?",7318a90b14
"Do I need to follow a specific interface format for the final project, or is anything okay if it meets the evaluation criteria?",7318a90b14
Will the course show how to make a Slack app or bot interface for the project?,7318a90b14
"If I want to use a different way to present the project to users, is that allowed as long as it works?",7318a90b14
"What are some good tools to pull text out of PDFs for a RAG app, and how do I know which one fits my documents best?",d8b28c47a0
"If my PDFs are scanned images with no text layer, what should I use to extract the content for RAG?",d8b28c47a0
Is there any recommended library in the course for converting PDFs into something like Markdown or JSON before chunking?,d8b28c47a0
Can I use an OCR API instead of running local OCR when my documents are image-based?,d8b28c47a0
"What tool should I try for extracting text from mixed document types and layouts, like PDFs and other files, in a RAG project?",d8b28c47a0
"Can I reuse the workshop content in my own capstone project, or is it only for the class?",d850a0e7ea
"Since dlt is open-source, does that mean I’m allowed to use this workshop material in a different project too?",d850a0e7ea
"If I’m working on the MLOps Zoomcamp project, can I also use dlt from this workshop there?",d850a0e7ea
Are we free to ask questions and apply the workshop examples directly in our own codebase?,d850a0e7ea
What’s the policy on sharing or reusing these workshop materials for other projects after the workshop?,d850a0e7ea
How do I start a new dlt project for loading data from cloud storage?,6bceeebf04
What command should I run to initialize a dlt filesystem source with DuckDB?,6bceeebf04
I'm trying to set up dlt for a cloud load workflow — what's the first CLI command?,6bceeebf04
How can I create a fresh dlt project using filesystem and duckdb?,6bceeebf04
Where do I go after initializing the dlt project with the filesystem template?,6bceeebf04
"Why do I get `FileNotFoundError: Table notion_pages___homework does not exist` when I call `db.open_table(""notion_pages___homework"")`?",0407213397
What should I check if the homework table says it doesn't exist in the dlt pipeline?,0407213397
"I changed the table name to homework, but `db.open_table` still fails — what am I missing?",0407213397
How can I fix the error about `notion_pages___homework` not existing in my dataset?,0407213397
"If `db.create_table(...)` is suggested, does that mean I forgot to rename something from `employee_handbook` to `homework`?",0407213397
Why am I getting `FileNotFoundError: Table notion_pages___homework does not exist` when I run `main()`?,e95bfafc0e
Do I need to create the `notion_pages___homework` table manually before calling `db.open_table()`?,e95bfafc0e
What should line 3 be if my code can’t find `notion_pages___homework`?,e95bfafc0e
"Is `db.open_table(""notion_pages___homework"")` the right way to fix the missing table error?",e95bfafc0e
How do I point my code to the correct table so the homework ingestion runs without the table-not-found error?,e95bfafc0e
How can I see the list of tables in my database?,e394e6f738
Is there a way to check which tables exist in the db?,e394e6f738
What method should I use to get all table names?,e394e6f738
How do I print out the tables that are currently in the database?,e394e6f738
Where can I find the names of all tables in the db?,e394e6f738
"Does dlt currently support connectors for ClickHouse or StarRocks, or is that not available yet?",cd19f122f3
"Can I use dlt to load data into ClickHouse or StarRocks, or do I need a different tool?",cd19f122f3
Are there any built-in dlt connectors for ClickHouse and StarRocks in the workshop version?,cd19f122f3
"If dlt doesn't support ClickHouse or StarRocks right now, can the community add them later?",cd19f122f3
Is there any plan or possibility to get ClickHouse or StarRocks connectors in dlt through community contributions?,cd19f122f3
"Why am I getting a 401 Unauthorized when my notebook calls the Notion search API, and how do I fix the auth problem?",0dfba07ace
My notebook says it has no secret access for api.notion.com/v1/search — is this a token or permissions issue?,0dfba07ace
What should I check first if the Notion API returns 401 Client Error in my ingestion notebook?,0dfba07ace
"Could an expired Notion token cause the notebook to fail with unauthorized access, and how do I confirm it?",0dfba07ace
I can’t access the Notion API from the workshop notebook. What config or endpoint mistakes usually lead to this error?,0dfba07ace
"Why am I getting a 401 Client Error when using this, is it about the key or permissions?",4b30b918bc
How can I force pip to install requests 2.32.3 from the source instead of the older one?,4b30b918bc
Is there a command to install the exact requests version needed for lancedb from GitHub?,4b30b918bc
Does a 401 error here usually mean my access token is wrong or not allowed?,4b30b918bc
What’s the proper pip install line for requests v2.32.3 from the official archive?,4b30b918bc
